review,rating,date,lang
Great app,5,2022-07-10T13:58:34,en
Horrible app. They are pretty much scammers. I ordered something and they almost doubled the payment amount stated do to 'transport costs' and the order was even WRONG! you guys are scammers and you make sure no one can call to make a complaint,1,2022-07-10T13:34:55,en
"The map for Belgrade is not exact. When i type an adress it show that pin is on different place and that confuses the couriers. Then i put the pin at the exact place, and it shows the wrong address. And of course that also confuses the couriers. Maps.me has the best map, it has every house number. You should try and work with them :)",4,2022-07-10T08:53:34,en
Ma app mataqlwa,1,2022-07-10T01:03:47,tl
"Can't deal anymore with this robbers, constantly getting orders wrong, incomplete or completely missing. I'd rather go myself than have you guys deliver me again. And pay your workers a decent wage!",1,2022-07-09T22:02:35,en
All fine and dandy until there's a problem. Then it's only excuses.,1,2022-07-09T21:03:07,en
Very good service,4,2022-07-09T20:32:43,en
The UI is abismal,1,2022-07-09T20:17:47,en
I just downloaded the app and I can't even sign up neither with my email nor Facebook account. I'll just delete it.,1,2022-07-09T19:52:55,en
"Aplikacja pyta o ocenienie poprzedniej dostawy (?), gdzie samej dostawy nie pamiętam",4,2022-07-09T19:18:52,pl
Nice and fast,4,2022-07-09T19:07:20,en
Great,5,2022-07-09T18:12:18,en
"Votre service n'est pas du tout satisfaisant, les livreurs sont incompétents... Lorsque je fait une réclamation, vous faites un remboursement par les coupons de réduction, or j'ai payé par carte bancaire... Donc si je veux récuperer mes soldes, je dois commander encore... Je vais désinstaller l'application.",1,2022-07-09T17:31:41,fr
Good food and service,5,2022-07-09T15:28:50,en
Very well,5,2022-07-09T14:53:51,af
Satisfied with the service,5,2022-07-09T14:27:56,en
"Užas. Naručio sam da vidim, uslugu i brzinu dostave. Ima opciju da se prati dostavljač, u trenutku kad je dostava trebala da stigne, aplikacija je davala informaciju da dostavljač nije izabran. Tehnička podrška je bila ljubazna, ali jedino što su uradili su pomerili vreme dostave. Nakon čekanja od sat vremena, dostava nije stigla, a najgore od svega, kad sam krenuo da poništi dostavu dobio sam informaciju da dostava uopšte nije ni pokušana. Stvarno užasno iskustvo. Aplikacija je izbrisana od tad",1,2022-07-09T13:54:13,hr
"App is extremely defunct. For instance, a random problem jus emerged: Choosing location, for instance, lands you into an infinite loop. As soon as you choose the location and confirm, it goes back to screen which forces you to choose location again. Can't place an order.",1,2022-07-09T13:52:17,en
Good delivery app,5,2022-07-09T13:17:37,en
Good option for everything takeaway and shopping,5,2022-07-09T12:08:25,en
The app took my money for premium unwillingly,1,2022-07-09T11:56:38,en
Filtering by distance and delivery time would be a bonus,5,2022-07-09T02:38:40,en
"Very bad customer service, at least in Morocco. Makyjawbouch fchat, la commande makatjich wlivreur m3edyine 3lih.",1,2022-07-09T02:24:01,en
Easy to use,5,2022-07-09T02:00:58,en
"after receiving an 80% discount on the next prime subscription, I was still charged full price and almost overcharged my card.",1,2022-07-08T23:45:00,en
You need a Spanish number to order and if you have a non-Spanish number good luck,1,2022-07-08T23:35:39,en
"Blokirali su mi nalog totalno random i nakon sto sam im poslao sve podatke koje su trazili, rekli su da krsim njihova pravila (nemam pojma koja) i trajno mi blokirali nalog, rupa od firme",1,2022-07-08T22:27:27,hr
Good service in timely manner,5,2022-07-08T22:15:31,en
Good app working pretty smooth 👍,5,2022-07-08T21:37:07,en
"The order takes ages and it don't even start and when you cancel it, the app won't take orders from you in the future, not with card nor cash ... if canceling orders wasn't permissible then why create this function at all ????",1,2022-07-08T21:35:02,en
Nice one,4,2022-07-08T21:17:03,en
great,5,2022-07-08T21:09:37,ro
"You should be able to tip after receiving your order. Right now I'm waiting already 2 hrs for my delivery, early tips encourage carelessness",2,2022-07-08T20:58:54,en
"Bad service, delivery,app,and scammers I ordered for food and I can't see my items complete and you guys are refund me 190N for something worth thousands,you guys are terrible, I'll report you guys everywhere, such wickedness and wicked people",1,2022-07-08T20:43:45,en
Used them for the first time for delivery in Belgrade. They were super fast. Hope they continue to deliver like this 🙌,5,2022-07-08T20:35:56,en
"At first I liked this app. Especially for being able to schedule. But then too many times happened that order was waited over an hour, with explanation ""too many requests in your city"". If there was an info that it's longer waiting time I'd go pick it up myself, or not order at all. This way it's just frustrating.",2,2022-07-08T20:22:35,en
"De când ați preluat Food Panda este un dezastru. Aplicația este proastă, cu o interfață de 2 bani iar acolo unde Food Panda livra, voi nu o mai faceți că "" este prea departe "" . Cea mai idioată aplicație pentru comandat mâncare.",1,2022-07-08T18:45:54,ro
Jumia charge #300 for delivery and pay their rider #900 per delivery. only God knows where they get the balance from. A secret glovo need to uncover in other to thrive.,5,2022-07-08T18:42:08,en
I really love this app. I recommend to everyone to use and is safe and convenient,3,2022-07-08T18:36:23,en
"My first time using the app, I booked a request by 2pm and was told estimated time of delivery is 2:55pm. I waited till 4pm, tracking the order, Chatting customer service and trying to track my order with follow up calls which no one responded to. At 4pm I was called upon by somebody saying they were just preparing the meal. I mean the app was saying the delivery was going to pick up my request so why the miscommunication. I had to cancel request",1,2022-07-08T18:06:25,en
Smooth and Easy to use,5,2022-07-08T17:46:57,en
PERFECT FOR A Start.,5,2022-07-08T17:29:44,en
Great app,5,2022-07-08T17:22:16,en
Perfect,5,2022-07-08T17:14:23,en
It's nice 😋,5,2022-07-08T17:08:25,en
App is accurate and meets scheduled time,3,2022-07-08T15:50:39,en
Good service,5,2022-07-08T15:35:36,en
Amazing services,5,2022-07-08T13:24:30,it
Very efficient,5,2022-07-08T12:25:12,en
My child likes glovo very much,5,2022-07-08T12:10:59,en
"Ordered McDonalds.... The Hot Food delivered late and cold, frozen food delivered late and melted. offered 2 euro credit via automated process , no obvious way to complain for refund. Will dispute charge with my card provider.",1,2022-07-08T10:13:42,en
you can't deliver people you should take that into consideration,1,2022-07-08T05:22:40,en
toooop,5,2022-07-08T03:42:03,af
Dope,5,2022-07-08T00:32:02,nl
"Nema dostavu u Rovinjsko Selo, samo 7km daleko od Rovinja. Sramotno. Dakle beskorisna je.",1,2022-07-08T00:14:29,hr
"I take back my words. The app is annoying and not advanced. I waited for two hours, just for my order to be cancelled. Using the app is at user's risk",1,2022-07-07T23:51:48,en
i love😍😍😍,5,2022-07-07T23:33:50,hr
incrível,5,2022-07-07T23:18:30,ca
"Good service, but prices are a bit higher than usual.",3,2022-07-07T22:29:10,en
"The service is generally good. There is a problem with price differentials, though. I have had a price hike of Ksh. 500 or Ksh. 800 between the app and the receipt. This should not be the case. I hope they will do something about it. 3.5 stars.",3,2022-07-07T21:59:27,en
perfect service,5,2022-07-07T21:52:29,en
pretty g,5,2022-07-07T21:47:54,no
"Funciona súper bien, las veces que he tenido algún problema lo resuelven bastante rápido desde la opción ayuda",5,2022-07-07T21:43:36,es
Exceptional service,5,2022-07-07T21:16:48,en
"nice and easy, works well in Bulgaria",5,2022-07-07T19:46:29,en
it's a pretty realistic app.,5,2022-07-07T19:46:14,en
Perfect,5,2022-07-07T19:32:15,en
Fantastic,5,2022-07-07T19:22:10,it
Decent,3,2022-07-07T19:16:30,nl
Худшее приложении для заказа еды.,1,2022-07-07T19:00:10,ru
Out of delivery location in Yerevan 😁 so funny,1,2022-07-07T18:39:36,en
great and awesome,5,2022-07-07T18:17:31,en
doesn't accept credit card,3,2022-07-07T17:48:40,ro
ok,5,2022-07-07T17:46:03,sk
fast delivery and always handled with care,5,2022-07-07T16:38:23,en
App not support American phone numbers,1,2022-07-07T16:16:14,en
In sfarsit ati inventat Public review... Recomand!,5,2022-07-07T16:15:08,en
very useful service,5,2022-07-07T16:11:21,en
trusted,5,2022-07-07T15:58:51,en
"On a passé une commande depuis 11h, on a du attendre jusqu'à 12h30 pour qu'ils nous appelle et nous informer que le restaurant est fermé et que notre commande est annulée. On a passé une autre commande chez un autre resto, l'application nous montre que la commande est préparée après une heure d'attente, et là on reçoit un appel de la part du livreur que le resto vient de recevoir notre commande et va commencer à préparer nos pizzas maintenant (il est 13h35), le resto est à 5 minutes de la maison",1,2022-07-07T15:38:29,fr
"It's so easy to navigate, full package...user interface is so wonderful 😊",5,2022-07-07T15:32:45,en
you are incredibly,5,2022-07-07T15:30:22,en
It's a really great delivery service app that has many restaurant where you can order from.,5,2022-07-07T15:29:17,en
Doesn't solve any of my problems contacted the support 3 times and their is so many problems their,1,2022-07-07T15:25:09,en
insects and pubic hairs on food.. higiene standards totally absent,1,2022-07-07T14:59:38,en
"Żenujący poziom usługi, praktycznie każde zamówienie spóźnione o minimum 30 minut, z jednej strony aplikacja pisze że kurier nie został jeszcze przypisany do zamówienia, a z drugiej, że nie mogę odwołać bo kurier jest już w drodze. Na ostatnie 10 zamówień każde wyszło fatalnie. Współczuję restauracjom które podpisały umowę na wyłączność z Glovo. Unikać jak ognia.",1,2022-07-07T14:44:17,pl
was very impressed with the portion size and right on time. Thanks,4,2022-07-07T14:31:17,en
Good service with plenty of delivery users making waiting time low and very good customer support for when you have issues,5,2022-07-07T14:11:13,en
"It's buggy, but it has nice features and tricks.",4,2022-07-07T13:54:30,en
taxa de vreme rea ???!!! serios ??!!,1,2022-07-07T13:50:05,pt
nice,5,2022-07-07T13:47:55,pl
