review,rating,date,lang
reliable,5,2023-08-14T14:27:43,ca
good,4,2023-08-14T14:14:08,so
good,5,2023-08-14T13:22:31,so
"Niti sam je instalirala niti je koristila, sama se pojavila na mom telefonu. Zbog toga je, sve i da mi je potrebna, nikada neću ni koristiti jer niko ne voli kada mu se nešto nameće a kako vidim vi to radite.",1,2023-08-14T12:37:40,hr
lovely app,5,2023-08-14T12:04:01,en
"Glovo already had some experiments with the tipping, but they were short lived. Looks like this absolute idiocy of the percentage based tip is here to stay. Clearly, this is a not so subtle way to push for the ""American Way"", AKA the Company having to give as little earnings as possible to the employees (drivers in this case), with the customers making up for it. Not happening peeps. We'll either stop tipping or, even better, stop using your app instead.",1,2023-08-14T11:48:57,en
perfect,5,2023-08-14T11:40:16,ca
"I had a problem concerning spoiled milk, I talked with their support team...and they were very helpful and quick to respond to my problem, they helped me resolve the matter very quickly... honestly very good service 👍",5,2023-08-14T01:01:10,en
Pay your workers more.,1,2023-08-14T00:06:15,en
delivery top-notch,5,2023-08-14T00:02:11,en
"my experience on this app so far is good, it's recommendable 👍😁",5,2023-08-13T23:55:58,en
"Certains restaurants ont des prix plus cher sur l'app que dans la realité en plus des frais de livraison, et des frais supplémentaires pour les commandes moins de 50dh??",1,2023-08-13T23:52:46,fr
"I had a bad situation with a delivery due to a problem with the address. Glovo support was useless, and the courier disappeared mid conversation, cancelled my order and made me lose thirty bucks and the food, just because he wasn't feeling like trying to talk. I'm not a fan of leaving bad reviews, but this, unfortunately, reckons one. So be warned—at the slight problem, be prepared to be in the losing side, and see no money and no food, because Glovo doesn't care about its customers.",1,2023-08-13T23:25:44,en
Best service in morocco,4,2023-08-13T23:24:44,en
"Great app tbh, easy to manage smooth aswell with zero bugs and crashes 👍",5,2023-08-13T22:53:10,en
Food delivered on time and intact,4,2023-08-13T22:31:58,en
Worst delivery service ever,1,2023-08-13T20:57:13,en
"Never arrived on time, always late. Bad service.",1,2023-08-13T20:03:04,en
Glovo as a service is great. I deleted the app because of the hundreds of YouTube ads I had to skip everyday to watch a video. At least come up with new ad creatives rather than the generic 5 second ad that I have to wait before watching my video. It's annoying and I would not be using this app anymore,1,2023-08-13T20:02:25,en
Good service,4,2023-08-13T19:31:51,en
fast and reliable,5,2023-08-13T19:28:58,en
nice,5,2023-08-13T18:12:35,pl
"what a fantastic meals, well packed, the chicken was tasty nice. I will order again nest time",5,2023-08-13T14:39:34,en
very impressive,4,2023-08-13T13:38:09,en
Glovo just charged me for bad weather when it is not raining and the sky is clear. This is another scam!! Deleting the app immediately,1,2023-08-13T13:23:42,en
So it seems you can't deliver to all parts of Lagos. That's a thumbs down 👎,1,2023-08-13T13:22:10,en
"Execrabile servicii. Fara nr de contact ca sa afli informații sau ptr modificare/anulare comanda greșită si altele. Fără istoric si review post-comanda. Update 2023: la fel de proaste serviciile. Mai nou curierii fura din comanda si nu iti mai raspund la telefon. Serviciul clienti prin chat, singurul disponibil, nu isi asuma mai nimic din ce fac curierii lor. Adesea nu iti recuperezi banii. Mereu probleme cu produsele. Jalnic. Nicio îmbunătățire.",1,2023-08-13T13:06:57,ro
fast,5,2023-08-13T12:30:17,it
Good app. have yet to find a reason to give less.,5,2023-08-13T12:28:17,en
fast delivery,5,2023-08-13T12:14:45,da
A strange app with multiple proposal completely out of market. I do not get why I see bunch of ordinary consumer goods for the 999 EUR.,3,2023-08-13T12:08:39,en
It is a good app,5,2023-08-13T11:54:04,en
Great,5,2023-08-13T11:25:51,en
"After the delivery is 13 bucks at a certain store, there's also an extra 0,99 fee and you also overprice the products from that location by a couple of bucks or more, do you still expect customers to give a tip to the couriers, after they were overcharged at least 20 bucks?",2,2023-08-13T11:18:21,en
"Сервіс фігня. Постійно везуть не те, тех підтримка не входить в положення кліентів. Раніше було ок, зараз ні",1,2023-08-13T11:13:04,uk
cool and realiabe,4,2023-08-13T11:05:59,en
"Tem Bugs que fazem você perder dinheiro. As lojas aparecerem como abertas, é feito o pedido, depois de determinado tempo a loja fecha, e você fica sem o pedido e o dinheiro. O suporte diz que avalia o caso, mas não avaliam. No final o cliente sai no prejuízo. A todos: Usem UberEats que é mais confiável e sério.",1,2023-08-13T10:09:15,pt
one of the best online service I have seen in Kenya.,5,2023-08-13T09:47:56,en
I almost died of hunger trying to order was in creating oder page for over 5 hours tried for the second time same thing try to improve this app,1,2023-08-13T03:57:47,en
Food was delivered on time and the burgers were really tasty. Would have given 5 stars instead of 4 if the fries had been cooked longer! They were slightly hard and not crispy at all.,4,2023-08-13T02:06:33,en
🥰,5,2023-08-13T00:52:54,unknown
"Until you make possibility to quickly solve the problems with order and untill Glovo supervises suppliers, the assesment remains like this. I can't understand, is it a real problem to deliver the oder with twice ordered goods? Is it a problem to put the second good while in the receipt workers have to see that they miss something?",1,2023-08-12T22:05:12,en
"reliable,fast perfect delivery",5,2023-08-12T21:55:17,ca
Reliable!,4,2023-08-12T21:20:02,es
Glovo is the best.,5,2023-08-12T19:36:08,en
Great service,5,2023-08-12T19:29:21,en
"4 stars cause each time I turn on the location service for easy Access I learnt that my address is always ""out of your delivery area"" and it's even more annoying when I see your courier delivers to that same address. So, I tried placing an order today without turning on the location service and luckily for me, I got the order.",4,2023-08-12T19:20:08,en
💛,5,2023-08-12T18:48:05,unknown
Terrible support. I had an issue with payment - and support even doesn't want to help Service 1 star,1,2023-08-12T18:30:05,en
brilliant service,5,2023-08-12T18:18:41,en
Its good just that the downloading is slow and it collects a lot of data so 4 /5 for me,4,2023-08-12T18:07:32,en
great app ever,5,2023-08-12T18:07:17,no
the best food delivery Service out there,5,2023-08-12T17:19:55,en
All the riders who've brought my order never had any change on them even after I had specified that I didn't have the exact amount for the food. I've always had to give up some money because I don't want to cause drama and didn't have the energy to argue. I even had a rider ask me for a tip after loosing some money to him because he didn't have change. I'm not sure we're the problem stems from but it needs to be solved.,1,2023-08-12T15:58:35,en
