review,rating,date,lang
"100% of the orders are late and it's always the restaurants' fault. გლდანიდან ჯერ მუხიანში მივიდა კურიერი, მერე თემქა მოილოცა და მერე წამოიღო შეკვეთა დიღომში!!!!!!",1,2023-01-18T18:57:04,en
sometimes very late and cold food.,4,2023-01-18T18:37:49,en
"desde que actualize la app, ya me pone que mi piso esta fuera del area de entrega, pero al lado y frente de donde vivo si esta disppnible, en plena centro de madrid.",1,2023-01-18T17:29:00,es
such a nice friend to deal with,5,2023-01-18T17:15:47,en
Hrana dosla polu hladna i naplaćena više od prave cene(110din) iako je besplatna dostava.,1,2023-01-18T16:47:57,hr
it's amazing,5,2023-01-18T16:34:24,tl
Very good app. Easy to use,5,2023-01-18T16:24:05,en
they are very annoying sometimes I just deleted the app now,1,2023-01-18T16:17:37,en
You guys have refused to refund my money since 3rd of January.... How do i trust you guys to use the app again after such experience during first order,1,2023-01-18T15:20:58,en
"Works very well in Casablanca, Morocco. Only wish they delivered alcohol",5,2023-01-18T15:12:34,en
did well,5,2023-01-18T15:07:25,cy
good app,5,2023-01-18T13:57:05,en
Rapid și perfect.,5,2023-01-18T13:42:51,ro
"Prices on Glovo are greatly inflated, it is common for items to be 20-30%+ more expensive than ordering direct from the restaurant! Cut out these parasites and order direct from a local business.",1,2023-01-18T13:34:52,en
fast and reliable service,5,2023-01-18T13:13:05,en
"my first time using Glovo, not sure it didnt accept MasterCards as a payment option . Holding cash all the time isn't feasible",4,2023-01-18T13:11:43,en
Inferior to the iOS app,1,2023-01-18T12:51:12,en
Quick delivery around Kampala,5,2023-01-18T12:14:59,en
Am platit pentru comanda dar comanda nu a ajuns curieru nici nu a sunat si comanda a fost anulata ca nu am fost sa ridic comanda,1,2023-01-18T12:08:06,ro
Fees are too expensive,1,2023-01-18T12:07:10,en
Please add Black theme like iOS!,4,2023-01-18T11:27:16,en
Worst bugged trash,1,2023-01-18T10:12:47,en
"Veryy baaaad experience, no support here in Tunisia",1,2023-01-18T09:13:27,en
Nice innovation... The communication and delivery time can be better though,3,2023-01-17T23:17:38,en
"Sve losija usluga ,narocito iz prodavnica...zasto naplacujete uslugu koju niste u stanju da isporucite..doneli mi dve stvari iz Maksija... Cao Glovo",1,2023-01-17T19:24:09,hr
it's a very Reliable app,2,2023-01-17T16:20:42,en
Obožavam aplikaciju i ima dosta popusta u mom kraju a vrlo često besplatna dostava u marketima i drogerijama.,5,2023-01-17T14:12:30,hr
I tried twice and it's perfect...will sure be using it,5,2023-01-17T14:08:18,en
July July 31st and we are 2⁵for 2gwr66dqed⁵5⁶d3,1,2023-01-17T13:54:42,en
The food exceeded my expectations and delivery was also very fast.,5,2023-01-17T12:05:35,en
good,5,2023-01-16T23:20:26,so
"Customer support is amazing, much better than the competing offers",5,2023-01-16T22:14:54,en
"Excellent , marvelous bravo 👏",5,2023-01-16T21:46:21,ca
nice,1,2023-01-16T20:50:58,pl
really impressed with the service,3,2023-01-16T19:28:37,en
good services,4,2023-01-16T17:49:00,en
Good support,5,2023-01-16T17:36:28,en
"Де Mc'Donalds? Заклад уже давно відчинений у місті, і я бачив ваших працівників біля нього, але в додатку я не можу знайти Мак :(",4,2023-01-16T14:54:08,uk
"am un prieten care mananca de la voi il cheama Stefan Virlan si s a ingrasat foarte tare, gen mega tare si acum e obez in p*** mea, ne e ok ce faceti!😡",5,2023-01-16T13:16:18,ro
"What a horrible customer experience. Since I changed my phone in October I have been unable to access my account. I tried to contact customer support for months and eqch time they give me the same response, that they're working on it, but nothing has changed. Worst experience so far.",1,2023-01-16T13:03:39,en
quick and easy,5,2023-01-16T10:57:44,en
"The worst, they deliver if it's convinced to them. Else they just make you wait and cancel it making you stay hungry",1,2023-01-16T00:28:27,en
the best,5,2023-01-15T22:30:25,en
"Only first order can be placed for cash,Otp authentication is not in the app so some cards dont work on it.Sometimes ,the app desn't allow to place any order displaying "" ...contact support to verify identity and then order can be placed on web portal only.",1,2023-01-15T22:25:57,en
awesome easy and simple to use,5,2023-01-15T21:47:20,en
The best delivery service in Georgia,5,2023-01-15T20:23:05,en
C’est juste un produit cool,5,2023-01-15T20:16:30,fr
De fiecare data cand vreau sa adaug un cod promo imi spune ca deja am folosit codul respectiv desi nu mai introdusesem coduri promo.,1,2023-01-15T19:49:18,ro
Terrible experience. They mess up orders and won't fix the issue. Really unprofessional.,1,2023-01-15T19:08:09,en
great service,5,2023-01-15T18:49:19,en
"I downloaded this app but i cannot sign in and use , what could be the problem Please i would like to use your service 😠😠😡😡",1,2023-01-15T18:19:25,en
nice,1,2023-01-15T17:01:38,pl
I love this app,5,2023-01-15T15:59:24,en
I have just made an order today from kfc and someone picked my order and there is no way one can contact you guys so sad seeing picked up yet you waiting for a paid order 😩,1,2023-01-15T15:27:58,en
nice app for Indians in Kyrgyzstan,5,2023-01-15T15:27:28,en
Good but there are always a room for improvement...,4,2023-01-15T15:13:26,en
So complicated to use.. Filters and restaurant Search so complex.,2,2023-01-15T14:06:17,en
very efficient,5,2023-01-15T13:36:13,en
Italian hybridisation main h,5,2023-01-15T13:27:08,en
super first,5,2023-01-15T12:36:38,en
Good,4,2023-01-15T12:30:22,so
Bad it's refusing to open it demands for a location,5,2023-01-15T12:29:49,en
Glovo are probleme grave cu update-ul statusului comenzilor.,1,2023-01-15T11:36:04,ro
I love glovo and I love how your things are very affordable ☺️,4,2023-01-15T10:43:21,en
Glavini dostavljac Pakisanaca u Hrvatskoj,1,2023-01-15T10:05:52,hr
"""Plata cu numerar nu este acceptată pentru această comandă"" M-am mutat pe tazz, pa.",1,2023-01-15T08:18:56,ro
poor service. do not refund money for an unfulfilled order,1,2023-01-15T01:45:01,en
