review,rating,date,lang
very good app and very good delivery.,4,2022-08-22T05:17:56,en
Some of the food is to pricey for the portion,3,2022-08-22T03:03:13,en
ليس به الكثير من عمال التوصيل و التوصيل بطيء جدا,1,2022-08-22T01:34:51,ar
good job,5,2022-08-21T22:56:26,so
"Daca esti singur nu poti comanda ca iti baga n supra taxe... 14 lei cu subscription platit sa comanzi de la 2 km, comparativ cu 10 lei easy box.ul pe toata tara. E corect, mafiotilor?",1,2022-08-21T22:12:05,ro
App was bugged. I tried login in multiple times yet the apl only stayed on the homescreen page. Tried their website and I got a similar experience.,1,2022-08-21T20:23:11,en
most of times cannot reoder. for takeaway search is not working.,1,2022-08-21T19:51:16,en
"""Translate ingredients to English"" option disappeared. So much hassle to manually translate every single ingredient in every single dish in every single restaurant, just to understand if I can eat it or not. Chrome translation on PC doesn't work either.",1,2022-08-21T19:50:07,en
it's good and fast very good service,5,2022-08-21T18:51:54,en
Great service,5,2022-08-21T18:34:39,en
"Some restaurants sell rotten cold food and Glovo won't help you once this happens. They'll just keep sending you automated messages to act as of they helping, kumbe your talking to robots. The app is trash..",1,2022-08-21T18:20:12,en
it takes more time when I open the application,3,2022-08-21T18:16:16,en
nice app to order food,5,2022-08-21T18:07:29,en
Good service,3,2022-08-21T17:50:45,en
Not bad at all,5,2022-08-21T16:19:56,en
Convenient,5,2022-08-21T15:42:29,nl
The codes dont work sometimes and very frustrating placing an order and them your friend doesnt get the discount after,1,2022-08-21T15:01:27,en
I don't like the food,1,2022-08-21T14:32:09,en
Looks like a good app and customer support are quick to respond but it wouldn't verify my UK number so I can't make an order. I had to contact support to find this out.,2,2022-08-21T14:14:38,en
Not bad,1,2022-08-21T13:33:29,id
not available at some places. A big commercial centre for that matter. poor,1,2022-08-21T13:27:49,en
Food,5,2022-08-21T12:02:00,en
Amazing delivery,5,2022-08-21T11:50:50,da
Sending fake promocodes,1,2022-08-21T11:01:59,en
They steal your order and say it is given to charity,1,2022-08-21T09:17:07,en
Super good and a realy small time until it comes,5,2022-08-21T05:42:51,en
Horrible app they keep saying that the location is out of delivery area they should have stated it before making me install this stupid app I'm deleting it right now 😡😡😡😡😡pls don't download this app if you don't want to waste time and data,1,2022-08-21T01:35:58,en
Amazing delivery precision,4,2022-08-21T00:11:27,it
Cekas 45 minuta da ti kazu da se radnja zatvorila,1,2022-08-20T22:17:10,hr
Okaaay! This app only works well on UX and UI but in functionality i will give it a big ZERO...it says i cant pay cash...and it also says I cant even pay with a card...how useless can such a useful app be. ??? Please fix your bug...its biting me in all sorts of places,1,2022-08-20T20:34:04,en
Reliable,5,2022-08-20T19:40:45,es
great app,5,2022-08-20T19:34:47,en
la multe nu poti plati decat cu cardul,1,2022-08-20T18:39:49,ro
pretty great app,5,2022-08-20T17:53:58,en
